time;MarchSept;Arctic_Temp_Anomalies;AMOC_Caesar;SI_Conc;AMOC_era5;AMOC_hadcrut5;AMOC_hadsst4;AMOC_cobe;AMOC_ersst;SI_Conc_0;SI_Conc_50;SI_Conc_75;SI_Conc_90
01.12.1999;1;-0.74002075;0.25261223;-89.42803605;0.292635682;0.639437463;0.242481081;0.377792061;0.263612664;-172.3563514;-149.1132115;-72.05211892;-72.01961679
01.01.2000;1;-1.0047455;0.10996928;-14.61575553;0.220146784;0.612808247;0.18920343;0.222615746;0.099189811;-102.0200048;-67.56846855;-28.47491188;-11.02287825
01.02.2000;1;-0.54763794;0.14461482;-54.19930371;0.244538775;0.170118815;0.222266673;0.211738959;0.250573732;-153.3172893;-117.1329345;-56.04456404;-20.27570538
01.03.2000;0;0.22416687;0.30171305;-106.903701;0.408462844;0.54207277;0.434174644;0.295767435;0.385426732;-177.0961396;-142.4641593;-87.07095962;-26.63405501
01.04.2000;0;-0.7427063;0.20475748;-65.33222566;0.32551451;0.445809953;0.428611888;0.282195144;0.382015284;-134.9539047;-108.0151821;-56.37468448;-19.18223826
01.05.2000;0;-1.010315;0.20130077;2.501538161;0.21769728;0.407785716;0.229712792;0.209321071;0.19332739;-75.48304037;-42.73968973;-3.355479561;-10.82921827
01.06.2000;0;-0.4072876;0.05153377;83.53136186;-0.046063665;-0.293260703;-0.020498206;-0.124337055;-0.225646897;15.99860612;48.98812785;71.01619806;7.114278998
01.07.2000;0;-0.07192993;0.43406904;66.3686407;0.303989176;0.362080231;0.368119743;0.364268114;0.408559136;51.01802184;76.06698437;41.92511686;29.58115182
01.08.2000;0;-0.17385864;0.39964274;-147.2157188;0.3219931;0.550403234;0.397993632;0.497975093;0.465106233;-202.2308388;-154.0006533;-99.67458056;-15.93312436
01.09.2000;0;-1.392273;0.3469144;-157.2234696;0.325802813;0.594991233;0.337144653;0.39761709;0.444935798;-97.19386362;-110.6763968;-96.79245505;-23.29605923
01.10.2000;1;-1.3898926;-0.092034444;-127.2904108;-0.129541043;0.134622537;-0.219068952;-0.101877425;-0.08396528;-112.4152628;-105.067371;-89.4728672;-18.92228549
01.11.2000;1;-2.0747375;0.08301513;-94.27450509;0.076958173;0.267504969;0.124144402;0.04450559;0.126263869;-162.0100144;-140.4247271;-51.28416517;-23.12118985
01.12.2000;1;-0.12950134;0.07025019;-46.43042835;0.114484893;0.393284339;0.187523414;0.11811772;0.18718187;-96.14090022;-77.90050837;-3.515632235;20.64566917
01.01.2001;1;-0.44830322;0.15211937;-45.92852928;0.271615221;0.291542468;0.107896851;0.134891778;0.156126941;-27.94442268;-24.6978183;-30.53613341;-8.327775936
01.02.2001;1;0.16317749;0.15570277;-41.72649317;0.258015801;0.19771477;0.646367359;0.201906754;0.24495147;14.65273386;11.28509759;-36.85350073;-15.91230202
01.03.2001;0;-1.9963989;0.36294913;-40.87804594;0.515393391;0.711807942;0.439797516;0.339171087;0.348106999;31.34059767;31.63917648;-46.43762915;-21.24486822
01.04.2001;0;-2.5783386;0.27904457;7.885688271;0.413935276;0.656748269;0.387378835;0.32525464;0.415700829;107.037847;111.6477747;-25.7089367;-15.45446124
01.05.2001;0;-1.654602;0.42293084;20.12038628;0.471226445;0.384959976;0.424908885;0.312389808;0.429516408;26.81782058;32.001729;-9.904246156;-21.32122001
01.06.2001;0;-0.48077393;0.74813116;-72.50001976;0.748747927;0.635973344;0.708585567;0.676329386;0.711864183;-149.7038566;-108.4620956;-78.74657355;-96.90437591
01.07.2001;0;-0.15054321;0.55994844;-209.1452418;0.541694027;0.345973492;0.52178059;0.543535927;0.49616616;-296.8344548;-250.5001667;-180.5088662;-132.2620202
01.08.2001;0;-0.43389893;0.62756133;-165.6922305;0.63083707;0.645921821;0.566519384;0.440611486;0.589326861;-261.1884294;-224.9007857;-98.75088901;-23.25996303
01.09.2001;0;-0.5022278;0.75092614;-160.3020617;0.736982763;0.684107409;0.798602329;0.516571324;0.700091865;-317.7981451;-274.6237494;-83.94676596;-20.14261209
01.10.2001;1;-1.1056519;0.44741395;-218.3559609;0.485581788;0.732939258;0.560047463;0.354313671;0.43971009;-294.3313587;-273.8779072;-142.5601566;-24.11385512
01.11.2001;1;-0.58099365;0.53379774;66.42076052;0.604946245;0.330922809;0.517616999;0.477486876;0.612433925;40.15409909;49.96169273;57.55658234;-10.06198362
01.12.2001;1;0.92051697;0.50923955;-171.4803442;0.579346532;0.431193937;0.665847443;0.461504127;0.703151389;-233.4208058;-216.6215967;-137.2013558;-60.24345617
01.01.2002;1;-0.95487976;0.45953798;-9.190826889;0.596941172;0.533007993;0.472029403;0.493299895;0.492145754;-21.7882475;-5.936252008;-32.90407228;-17.07399642
01.02.2002;1;-3.148407;0.26136267;-3.95286322;0.408409972;0.309143143;0.359868428;0.24811221;0.217939182;13.67751504;26.22512104;-26.75223842;-13.6765411
01.03.2002;0;1.1814575;0.087677866;-22.83960552;0.260179047;-0.317344237;0.276587167;0.186192283;0.267378407;26.66730502;33.52643161;-35.97169012;-14.26990693
01.04.2002;0;-2.625351;0.053248074;-25.14910153;0.181923361;0.091895661;0.05671055;0.050669812;0.033480695;-75.9171338;-51.595967;-24.8319127;-14.43615346
01.05.2002;0;-0.030151367;-0.14601532;61.66019305;-0.055900944;-0.12335908;-0.006610078;-0.073962642;-0.034224273;54.04871959;60.49222532;33.58413568;6.115452165
01.06.2002;0;0.42211914;-0.577983;158.9459207;-0.541276743;-0.113655023;-0.073782548;-0.273235439;-0.252709268;153.9163525;148.976676;129.3589179;69.00404495
01.07.2002;0;-0.02407837;-0.15471157;128.736452;-0.199075643;-0.476084449;-0.122475247;-0.187128421;-0.157427601;63.43047117;84.84732899;100.2595432;60.40461623
01.08.2002;0;0.08068848;0.29354775;-73.74359642;0.256778609;-0.000678151;0.138822749;0.208321142;0.154905198;-107.4380347;-109.3153901;-65.42882372;-23.05284471
01.09.2002;0;-0.5048828;0.11623663;-67.48067571;0.083918166;0.080349734;0.111738759;0.09480089;0.117941345;-34.62133647;-61.17314278;-67.52714606;-17.90896303
01.10.2002;1;0.43222046;0.03931588;69.37425187;0.04372538;-0.0355272;0.320719578;0.148298798;0.183805286;46.5069886;54.92397568;19.37089736;-25.07597785
01.11.2002;1;-0.50619507;-0.020351097;14.59265701;0.020658696;0.20548237;0.235032864;0.012166686;0.013822634;2.522125895;12.71269781;10.3174449;36.14275043
01.12.2002;1;0.78855896;0.008607447;58.9496698;0.080332679;0.654495776;0.196767665;0.131008111;0.050975773;70.32951627;81.49207808;51.86933981;40.89291892
01.01.2003;1;-0.2830658;0.23819475;12.72046484;0.34778445;0.718825219;0.699246619;0.415332192;0.47394733;88.05778526;93.04653608;-24.07728569;-18.20533779
01.02.2003;1;-2.698883;0.09669925;34.54465565;0.189213219;0.368649887;-0.071274169;0.152729317;0.216194283;42.60716152;66.74633636;-4.753266125;-10.18668331
01.03.2003;0;-1.9820709;0.009090245;17.63807661;0.147057737;0.643637883;0.266903476;0.117950298;0.131901387;95.89511967;94.87041232;-19.72551335;-10.54044775
01.04.2003;0;-1.0311279;0.1680633;8.818411487;0.250990023;0.709222049;0.499867741;0.214349564;0.327328908;98.25400708;82.23108907;-16.93751989;-8.882955063
01.05.2003;0;0.5586548;0.18260323;29.46892124;0.174094731;0.204854477;0.254688332;0.110589536;-0.007875667;114.1996683;109.6764962;0.044543225;2.550887117
01.06.2003;0;-0.24380493;-0.009187713;115.6534904;-0.073363483;0.330140794;-0.078978969;-0.0322343;-0.240328943;240.2400762;188.2874624;65.84154337;33.33343376
01.07.2003;0;-0.25793457;0.18172805;177.4285359;0.097579483;0.076041519;0.291795633;-0.036831998;-0.075449412;256.4961649;221.4936881;91.08440573;35.93182194
01.08.2003;0;-0.26696777;0.28679308;89.11183634;0.204394764;0.197152524;0.356314702;0.114220884;0.130589842;89.11409228;117.4239202;6.461597423;-14.56770057
01.09.2003;0;0.40594482;0.532051;90.52072818;0.460084018;0.512686169;0.406046847;0.341563408;0.310441873;144.7424587;144.9299768;-8.230968694;-13.91188006
01.10.2003;1;-0.65075684;0.8797448;23.9951846;0.828347794;0.735707933;0.787176369;0.757545628;0.687271392;76.36213365;77.24387317;-37.59911186;-23.41034995
01.11.2003;1;-0.92832947;0.50199234;-101.1302805;0.534680594;0.776537973;0.513287744;0.479585575;0.31158099;-158.9923291;-142.2581746;-95.2445408;-74.15364194
01.12.2003;1;-0.75260925;0.5715816;-38.30591699;0.64972884;0.527317366;0.666733468;0.555233558;0.522106743;11.79378548;9.032467757;-61.1388977;-43.3312421
01.01.2004;1;-0.50413513;0.5782442;-42.68061676;0.689011429;0.850284285;0.519367561;0.547434709;0.574005634;-1.662300519;-7.637176512;-35.02140618;-5.725358263
01.02.2004;1;-1.8443298;0.5993017;-19.91545234;0.738952627;0.829948679;0.533216288;0.53389293;0.531414597;41.65730415;11.98912218;-29.51263586;-12.80791757
01.03.2004;0;-1.0357513;0.51147413;13.68698169;0.648052678;0.751777723;0.573949778;0.512997749;0.660948085;24.94454608;40.18073249;-11.04756321;-10.05917302
01.04.2004;0;0.34121704;0.4139617;-16.21870968;0.488963644;0.264297984;0.372590208;0.300394441;0.385687189;-69.65610571;-36.36058746;-10.61275865;-7.332882118
01.05.2004;0;0.37402344;0.3378601;-73.20188274;0.33087795;0.544294478;0.365806633;0.226658024;0.353442013;-186.1891088;-145.9214055;-29.97630345;-3.358825511
01.06.2004;0;0.06484985;0.21659335;101.0349857;0.181910851;0.664582461;0.4372594;0.243951677;0.232745097;30.0532291;50.65997716;114.8645754;61.22272593
01.07.2004;0;0.07095337;0.13565718;260.6913515;0.032314108;0.683006804;0.24632784;-0.01624485;0.040143745;181.9606507;207.5974314;290.2979584;182.5421228
01.08.2004;0;-0.021759033;0.12964126;-43.65385477;0.023995768;0.211918854;0.013075338;-0.104198396;-0.075820752;-149.6612422;-117.318657;7.901057792;9.900296664
01.09.2004;0;-0.81359863;-0.037364766;-113.1278859;-0.127197925;0.113490772;0.111471306;-0.044264626;-0.023913568;-179.4011963;-186.1984892;-58.98384121;-12.194826
01.10.2004;1;-1.0002747;0.29356337;-100.472476;0.203406602;0.41153611;0.251198037;0.262030386;0.119896748;-119.9026182;-119.8726654;-79.18949213;-23.19390589
01.11.2004;1;-2.1738586;0.6748456;136.9908493;0.685469007;0.833550919;0.72117495;0.54920045;0.602176738;108.7139946;114.6391476;134.1265727;36.73337079
01.12.2004;1;-0.51148987;0.7468792;84.67002428;0.79820439;0.648967094;0.798048074;0.575800984;0.570208549;9.768958892;22.61766733;104.1429879;77.74357431
01.01.2005;1;2.2555542;0.32978842;-26.58073575;0.388719506;-0.097581696;0.392918273;0.340188016;0.429780249;-143.359257;-114.8701161;-1.213935646;5.096546853
01.02.2005;1;1.9979706;0.6082269;-101.7532125;0.652437413;0.724091267;0.576618014;0.571812886;0.662992054;-226.6200356;-202.1005406;-55.56363463;-7.432610575
01.03.2005;0;-1.1075592;0.8265564;-54.02163033;0.928054718;0.966269598;1.018640611;0.859545084;0.898996522;-129.3265534;-118.7202966;-58.25078342;-20.97199202
01.04.2005;0;-0.9277954;0.86656356;-20.63622878;0.893665961;0.749409144;0.69975747;0.840499542;0.795226287;-82.06980862;-51.85437521;-28.8167627;-11.75014749
01.05.2005;0;1.226654;0.9566977;14.3206185;0.955101532;0.720268005;0.877241784;0.856565883;0.892452817;-43.6121942;-17.97624086;6.811134583;-3.646133951
01.06.2005;0;0.6277771;1.028151;33.1469423;0.965905236;0.813337766;0.774751786;0.768947915;0.819880313;-6.673260496;-3.509543681;35.15300975;1.869882655
01.07.2005;0;-0.22781372;1.1383601;-68.98901091;0.996940095;0.719091895;0.67357054;0.702225847;0.747517408;-81.24330016;-85.44774655;-51.84459389;-52.20811623
01.08.2005;0;-0.11224365;1.0071787;-124.187386;0.875286325;0.707910476;0.609788924;0.780347656;0.750982851;-107.5161974;-145.5855653;-65.92897885;-15.41231811
01.09.2005;0;-0.16012573;0.7925908;-79.75444334;0.665150114;0.333999232;0.58027481;0.723092631;0.73963896;-64.26589845;-90.28197155;-48.07949836;-9.328179899
01.10.2005;1;0.31704712;0.36863554;23.05223313;0.277471373;-0.176994143;-0.063622838;0.260131689;0.304985754;79.9350384;70.29679242;-8.772703335;-9.429095999
01.11.2005;1;-0.10546875;0.45158517;-53.66678497;0.44818968;0.169531348;0.016908577;0.333051821;0.326775122;-80.71166926;-71.13630172;-73.53397394;-90.23138421
01.12.2005;1;1.3127594;0.6270551;-136.5353632;0.639124067;0.223981394;0.83355877;0.684154053;0.712089486;-220.6394843;-199.3172122;-103.3430027;-55.11740423
01.01.2006;1;4.3345947;0.56345916;-132.5952288;0.603355908;0.484861267;0.627640512;0.627343298;0.749439434;-282.0316397;-237.4563155;-75.15463262;-5.093051716
01.02.2006;1;0.95666504;0.5931442;-71.55525605;0.663494131;0.526512331;0.405270401;0.557351918;0.840892858;-225.004281;-184.4851977;-30.52683088;-7.334518755
